"id","id_empresa","id_empresaMae","ON_num","ON","partRelBattiston","partRelShapley","partRelBanzhaf","somaRel","PN_num","PN","acordo","controlador","fonte"
"421735","1","-1","0","0","0","0","0","0","0","0",,,"15334"
"421736","2","-1","0","0","0","0","0","0","0","0",,,"22624"
"421737","3","-1","0","0","0","0","0","0","0","0",,,"22756"
"421738","4","-1","0","0","0","0","0","0","0","0",,,"AELP"
"421739","5","-1","0","0","0","0","0","0","0","0",,,"ALLL"
"421740","6","-1","0","0","0","0","0","0","0","0",,,"ALUP"
"421741","7","-1","0","0","0","0","0","0","0","0",,,"AMPI"
"421742","8","-1","0","0","0","0","0","0","0","0",,,"ANDG"
"421743","9","-1","0","0","0","0","0","0","0","0",,,"BAZA"
"421744","10","-1","0","0","0","0","0","0","0","0",,,"BBAS"
"421745","11","-1","0","0","0","0","0","0","0","0",,,"BBDC"
"421746","12","-1","0","0","0","0","0","0","0","0",,,"BEES"
"421747","13","-1","0","0","0","0","0","0","0","0",,,"BFRE"
"421748","14","-1","0","0","0","0","0","0","0","0",,,"BICB"
"421749","15","-1","0","0","0","0","0","0","0","0",,,"BISA"
"421750","16","-1","0","0","0","0","0","0","0","0",,,"BLRO"
"421751","17","-1","0","0","0","0","0","0","0","0",,,"BMEB"
"421752","18","-1","0","0","0","0","0","0","0","0",,,"BMTO"
"421753","19","-1","0","0","0","0","0","0","0","0",,,"BNBR"
"421754","20","-1","0","0","0","0","0","0","0","0",,,"BNDP"
"421755","21","-1","0","0","0","0","0","0","0","0",,,"BNPA"
"421756","22","-1","0","0","0","0","0","0","0","0",,,"BPAC"
"421757","23","-1","0","0","0","0","0","0","0","0",,,"BPNM"
"421758","24","-1","0","0","0","0","0","0","0","0",,,"BRAP"
"421759","25","-1","0","0","0","0","0","0","0","0",,,"BRGE"
"421760","26","-1","0","0","0","0","0","0","0","0",,,"BRPR"
"421761","27","-1","0","0","0","0","0","0","0","0",,,"BRSR"
"421762","28","-1","0","0","0","0","0","0","0","0",,,"BRZI"
"421763","29","-1","0","0","0","0","0","0","0","0",,,"BSLI"
"421764","30","-1","0","0","0","0","0","0","0","0",,,"CANT"
"421765","31","-1","0","0","0","0","0","0","0","0",,,"CCCI"
"421766","32","-1","0","0","0","0","0","0","0","0",,,"CCRO"
"421767","33","-1","0","0","0","0","0","0","0","0",,,"CEBR"
"421768","34","-1","0","0","0","0","0","0","0","0",,,"CLSC"
"421769","35","-1","0","0","0","0","0","0","0","0",,,"CMGT"
"421770","36","-1","0","0","0","0","0","0","0","0",,,"CMIG"
"421771","37","-1","0","0","0","0","0","0","0","0",,,"CNFB"
"421772","38","-1","0","0","0","0","0","0","0","0",,,"CPFE"
"421773","39","-1","0","0","0","0","0","0","0","0",,,"CPFG"
"421774","40","-1","0","0","0","0","0","0","0","0",,,"CPLE"
"421775","41","-1","0","0","0","0","0","0","0","0",,,"CPTP"
"421776","42","-1","0","0","0","0","0","0","0","0",,,"CSNA"
"421777","43","-1","0","0","0","0","0","0","0","0",,,"CTNM"
"421778","44","-1","0","0","0","0","0","0","0","0",,,"CTXP"
"421779","45","-1","0","0","0","0","0","0","0","0",,,"CYRE"
"421780","46","-1","0","0","0","0","0","0","0","0",,,"CZLT"
"421781","47","-1","0","0","0","0","0","0","0","0",,,"DBEN"
"421782","48","-1","0","0","0","0","0","0","0","0",,,"DOCA"
"421783","49","-1","0","0","0","0","0","0","0","0",,,"EBTP"
"421784","50","-1","0","0","0","0","0","0","0","0",,,"ECOR"
"421785","51","-1","0","0","0","0","0","0","0","0",,,"ECPR"
"421786","52","-1","0","0","0","0","0","0","0","0",,,"EEEL"
"421787","53","-1","0","0","0","0","0","0","0","0",,,"ELET"
"421788","54","-1","0","0","0","0","0","0","0","0",,,"ENBR"
"421789","55","-1","0","0","0","0","0","0","0","0",,,"ENGI"
"421790","56","-1","0","0","0","0","0","0","0","0",,,"ENGP"
"421791","57","-1","0","0","0","0","0","0","0","0",,,"EQTL"
"421792","58","-1","0","0","0","0","0","0","0","0",,,"ERDV"
"421793","59","-1","0","0","0","0","0","0","0","0",,,"ETRO"
"421794","60","-1","0","0","0","0","0","0","0","0",,,"FPRT"
"421795","61","-1","0","0","0","0","0","0","0","0",,,"FTRT"
"421796","62","-1","0","0","0","0","0","0","0","0",,,"GGBR"
"421797","63","-1","0","0","0","0","0","0","0","0",,,"GNAN"
"421798","64","-1","0","0","0","0","0","0","0","0",,,"GOAU"
"421799","65","-1","0","0","0","0","0","0","0","0",,,"GPIV"
"421800","66","-1","0","0","0","0","0","0","0","0",,,"HBTS"
"421801","67","-1","0","0","0","0","0","0","0","0",,,"HETA"
"421802","68","-1","0","0","0","0","0","0","0","0",,,"IDVL"
"421803","69","-1","0","0","0","0","0","0","0","0",,,"INEP"
"421804","70","-1","0","0","0","0","0","0","0","0",,,"ITSA"
"421805","71","-1","0","0","0","0","0","0","0","0",,,"ITSP"
"421806","72","-1","0","0","0","0","0","0","0","0",,,"ITUB"
"421807","73","-1","0","0","0","0","0","0","0","0",,,"IVPR"
"421808","74","-1","0","0","0","0","0","0","0","0",,,"JBSS"
"421809","75","-1","0","0","0","0","0","0","0","0",,,"LAME"
"421810","76","-1","0","0","0","0","0","0","0","0",,,"LFFE"
"421811","77","-1","0","0","0","0","0","0","0","0",,,"LIGT"
"421812","78","-1","0","0","0","0","0","0","0","0",,,"LTEL"
"421813","79","-1","0","0","0","0","0","0","0","0",,,"MILK"
"421814","80","-1","0","0","0","0","0","0","0","0",,,"MLFT"
"421815","81","-1","0","0","0","0","0","0","0","0",,,"MMXM"
"421816","82","-1","0","0","0","0","0","0","0","0",,,"MOAR"
"421817","83","-1","0","0","0","0","0","0","0","0",,,"MRFG"
"421818","84","-1","0","0","0","0","0","0","0","0",,,"NCNE"
"421819","85","-1","0","0","0","0","0","0","0","0",,,"NEMO"
"421820","86","-1","0","0","0","0","0","0","0","0",,,"OHLB"
"421821","87","-1","0","0","0","0","0","0","0","0",,,"OIBR"
"421822","88","-1","0","0","0","0","0","0","0","0",,,"OPDL"
"421823","89","-1","0","0","0","0","0","0","0","0",,,"OPRE"
"421824","90","-1","0","0","0","0","0","0","0","0",,,"OPTS"
"421825","91","-1","0","0","0","0","0","0","0","0",,,"PBEL"
"421826","92","-1","0","0","0","0","0","0","0","0",,,"PCAR"
"421827","93","-1","0","0","0","0","0","0","0","0",,,"PCPA"
"421828","94","-1","0","0","0","0","0","0","0","0",,,"PDGR"
"421829","95","-1","0","0","0","0","0","0","0","0",,,"PETR"
"421830","96","-1","0","0","0","0","0","0","0","0",,,"PITI"
"421831","97","-1","0","0","0","0","0","0","0","0",,,"PRVT"
"421832","98","-1","0","0","0","0","0","0","0","0",,,"RADL"
"421833","99","-1","0","0","0","0","0","0","0","0",,,"RAPT"
