Nome,Classe,CNPJ,Pais Sede,Ativo /|Cancelado,ID da|empresa,Setor NAICS|ult disponiv,Setor|Economática,Tipo de Ativo,Bolsa,Código,ISIN,Meses|Dez 2011|no exercício|consolid:sim*,Ativo Tot|Dez 2011|em moeda orig|consolid:sim*,Patrim Liq|Dez 2011|em moeda orig|consolid:sim*,Receita|Dez 2011|em moeda orig|no exercício|consolid:sim*,Lucro Bruto|Dez 2011|em moeda orig|no exercício|consolid:sim*,Lucro Liq|Dez 2011|em moeda orig|no exercício|consolid:sim*,Moeda dos|Balanços,Qtd Ações|Outstanding|da classe|31Dez11,LPA|Dez 2011|em moeda orig|de 12 meses|consolid:sim*|ajust p/ prov,VPA|Dez 2011|em moeda orig|consolid:sim*|ajust p/ prov,Vendas/Acao|Dez 2011|em moeda orig|de 12 meses|consolid:sim*|ajust p/ prov,Divid por Ação|31Dez11|1 anos|em moeda orig,Div Yld (fim)|31Dez11|no Ano|em moeda orig,Div Yld (inic)|31Dez11|1 anos|em moeda orig,PrinAcion|31/12/2011|1.Maior|Sem Voto,AcPossuid|31/12/2011|1.Maior|Sem Voto,PrinAcion|31/12/2011|2.Maior|Sem Voto,AcPossuid|31/12/2011|2.Maior|Sem Voto,PrinAcion|31/12/2011|3.Maior|Sem Voto,AcPossuid|31/12/2011|3.Maior|Sem Voto,PrinAcion|31/12/2011|4.Maior|Sem Voto,AcPossuid|31/12/2011|4.Maior|Sem Voto,PrinAcion|31/12/2011|5.Maior|Sem Voto,AcPossuid|31/12/2011|5.Maior|Sem Voto,PrinAcion|31/12/2011|6.Maior|Sem Voto,AcPossuid|31/12/2011|6.Maior|Sem Voto,PrinAcion|31/12/2011|7.Maior|Sem Voto,AcPossuid|31/12/2011|7.Maior|Sem Voto,PrinAcion|31/12/2011|8.Maior|Sem Voto,AcPossuid|31/12/2011|8.Maior|Sem Voto,PrinAcion|31/12/2011|9.Maior|Sem Voto,AcPossuid|31/12/2011|9.Maior|Sem Voto,PrinAcion|31/12/2011|10.Maior|Sem Voto,AcPossuid|31/12/2011|10.Maior|Sem Voto,PrinAcion|31/12/2011|1.Maior|Com Voto,AcPossuid|31/12/2011|1.Maior|Com Voto,PrinAcion|31/12/2011|2.Maior|Com Voto,AcPossuid|31/12/2011|2.Maior|Com Voto,PrinAcion|31/12/2011|3.Maior|Com Voto,AcPossuid|31/12/2011|3.Maior|Com Voto,PrinAcion|31/12/2011|4.Maior|Com Voto,AcPossuid|31/12/2011|4.Maior|Com Voto,PrinAcion|31/12/2011|5.Maior|Com Voto,AcPossuid|31/12/2011|5.Maior|Com Voto,PrinAcion|31/12/2011|6.Maior|Com Voto,AcPossuid|31/12/2011|6.Maior|Com Voto,PrinAcion|31/12/2011|7.Maior|Com Voto,AcPossuid|31/12/2011|7.Maior|Com Voto,PrinAcion|31/12/2011|8.Maior|Com Voto,AcPossuid|31/12/2011|8.Maior|Com Voto,PrinAcion|31/12/2011|9.Maior|Com Voto,AcPossuid|31/12/2011|9.Maior|Com Voto,PrinAcion|31/12/2011|10.Maior|Com Voto,AcPossuid|31/12/2011|10.Maior|Com Voto
3M,Com,-,US,ativo,66740,Indústria de equipamentos e materiais para uso médico,Outros,"ADR,etc (emp estrang)",Bovespa,MMMC11B,BRMMMCBDR000,-,-,-,-,-,-,Dollar US,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
521 Particip,ON,1547749000116,BR,cancelado,1633,Administração de empresas e empreendimentos,Outros,Ação,Bovespa,QVUM3B,-,12,106831000,105493000,395294000,132922000,67419000,Real,2405000,28.032848233,43.864033264,164.36340956,16.5,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Fundo Mutuo Inv. Acoes BB Cart. Livre I,2404994,Conselheiros,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A P Participacoes,ON,2288752000125,BR,cancelado,1680,Administração de empresas e empreendimentos,Outros,Ação,Bovespa,APPA3,-,-,-,-,-,-,-,Real,157000,-,-,-,0,-,-,Ascipar,313000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ascipar,157000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A P Participacoes,PN,2288752000125,BR,cancelado,1680,Administração de empresas e empreendimentos,Outros,Ação,Bovespa,APPA4,-,-,-,-,-,-,-,Real,313000,-,-,-,0,-,-,Ascipar,313000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ascipar,157000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Abbott Labs,Com,-,US,ativo,1800,Indústria de remédios,Química,"ADR,etc (emp estrang)",Bovespa,ABTT11B,BRABTTBDR007,-,-,-,-,-,-,Dollar US,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Abc Brasil,ON,28195667000106,BR,ativo,2095,Bancos,Finanças e Seguros,Ação,Bovespa,ABCB3,BRABCBACNOR7,12,10391898000,1539616000,-,-,235599000,Real,67822120,1.7533254352,11.488456866,-,0.58,-,-,Marsau Uruguay Holdings S/A,17859279,Fmr Llc(Fidelity),5550675,Capital Research & Mngmt Co,3609000,Acoes em Tesouraria,1192801,-,-,-,-,-,-,-,-,-,-,-,-,Marsau Uruguay Holdings S/A,59794138,-,0,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-
Abc Brasil,PN,28195667000106,BR,ativo,2095,Bancos,Finanças e Seguros,Ação,Bovespa,ABCB4,BRABCBACNPR4,12,10391898000,1539616000,-,-,235599000,Real,66192049,1.7533254352,11.488456866,-,0.58,4.7,4.0,Marsau Uruguay Holdings S/A,17859279,Fmr Llc(Fidelity),5550675,Capital Research & Mngmt Co,3609000,Acoes em Tesouraria,1192801,-,-,-,-,-,-,-,-,-,-,-,-,Marsau Uruguay Holdings S/A,59794138,-,0,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-
Abc Brasil,UNT N2,28195667000106,BR,cancelado,2095,Bancos,Finanças e Seguros,Ação,Bovespa,ABCB11,-,12,10391898000,1539616000,-,-,235599000,Real,0,1.7533254352,11.488456866,-,0,-,-,Marsau Uruguay Holdings S/A,17859279,Fmr Llc(Fidelity),5550675,Capital Research & Mngmt Co,3609000,Acoes em Tesouraria,1192801,-,-,-,-,-,-,-,-,-,-,-,-,Marsau Uruguay Holdings S/A,59794138,-,0,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-
Abril Educa,UNT N2,2541982000154,BR,ativo,2255,Outros tipos de escolas,Outros,Ação,Bovespa,ABRE11,BRABRECDAM15,12,1751985000,958817000,772108000,474135000,48316000,Real,0,0.24768740528,4.2337287328,3.9581386522,0,0.0,-,Roberto Civita,18452708,FIP Brasil de Governanca Corporativa,14814814,BR Educacional Fundo de Investimento em Participacoes,13120370,Giancarlo Francesco Civita,5032556,Victor Civita,5032556,Roberta Anamaria Civita,5032556,Abrilpar Participacoes S.A.,2922834,Manoel Luiz Ferrao de Amorim,744980,-,-,-,-,Abrilpar Participacoes S.A.,74532302,Roberto Civita,9226354,FIP Brasil de Governanca Corporativa,7407407,BR Educacional Fundo de Investimento em Participacoes,6560185,Giancarlo Francesco Civita,2516278,Victor Civita,2516278,Roberta Anamaria Civita,2516278,Manoel Luiz Ferrao de Amorim,372490,-,-,-,-
Abyara,ON,7794351000160,BR,cancelado,2020,Construção e empreendimentos imobiliarios,Construção,Ação,Bovespa,ABYA3,-,-,-,-,-,-,-,Real,104906000,-,-,-,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ipu Participacoes S/A,50502000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
