Nome,Classe,CNPJ,Pais Sede,Ativo /|Cancelado,ID da|empresa,Setor NAICS|ult disponiv,Setor|Economática,Tipo de Ativo,Bolsa,Código,ISIN,Meses|do ult balanco|no exercício|consolid:sim*,Ativo Tot|do ult balanco|em moeda orig|consolid:sim*,Patrim Liq|do ult balanco|em moeda orig|consolid:sim*,Receita|do ult balanco|em moeda orig|no exercício|consolid:sim*,Lucro Bruto|do ult balanco|em moeda orig|no exercício|consolid:sim*,Lucro Liq|do ult balanco|em moeda orig|no exercício|consolid:sim*,Moeda dos|Balanços,Qtd Ações|Outstanding|da classe|05Set12,LPA|do ult balanco|em moeda orig|de 12 meses|consolid:sim*|ajust p/ prov,VPA|do ult balanco|em moeda orig|consolid:sim*|ajust p/ prov,Vendas/Acao|do ult balanco|em moeda orig|de 12 meses|consolid:sim*|ajust p/ prov,Divid por Ação|05Set12|1 anos|em moeda orig,Div Yld (fim)|05Set12|no Ano|em moeda orig,Div Yld (inic)|05Set12|1 anos|em moeda orig,PrinAcion|+Recente|1.Maior|Sem Voto,AcPossuid|+Recente|1.Maior|Sem Voto,PrinAcion|+Recente|2.Maior|Sem Voto,AcPossuid|+Recente|2.Maior|Sem Voto,PrinAcion|31/12/2011|3.Maior|Sem Voto,AcPossuid|+Recente|3.Maior|Sem Voto,PrinAcion|+Recente|4.Maior|Sem Voto,AcPossuid|+Recente|4.Maior|Sem Voto,PrinAcion|+Recente|5.Maior|Sem Voto,AcPossuid|+Recente|5.Maior|Sem Voto,PrinAcion|+Recente|6.Maior|Sem Voto,AcPossuid|+Recente|6.Maior|Sem Voto,PrinAcion|+Recente|7.Maior|Sem Voto,AcPossuid|+Recente|7.Maior|Sem Voto,PrinAcion|+Recente|8.Maior|Sem Voto,AcPossuid|+Recente|8.Maior|Sem Voto,PrinAcion|+Recente|9.Maior|Sem Voto,AcPossuid|+Recente|9.Maior|Sem Voto,PrinAcion|+Recente|10.Maior|Sem Voto,AcPossuid|+Recente|10.Maior|Sem Voto,PrinAcion|+Recente|1.Maior|Com Voto,AcPossuid|+Recente|1.Maior|Com Voto,PrinAcion|+Recente|2.Maior|Com Voto,AcPossuid|+Recente|2.Maior|Com Voto,PrinAcion|+Recente|3.Maior|Com Voto,AcPossuid|+Recente|3.Maior|Com Voto,PrinAcion|+Recente|4.Maior|Com Voto,AcPossuid|+Recente|4.Maior|Com Voto,PrinAcion|+Recente|5.Maior|Com Voto,AcPossuid|+Recente|5.Maior|Com Voto,PrinAcion|+Recente|6.Maior|Com Voto,AcPossuid|+Recente|6.Maior|Com Voto,PrinAcion|+Recente|7.Maior|Com Voto,AcPossuid|+Recente|7.Maior|Com Voto,PrinAcion|+Recente|8.Maior|Com Voto,AcPossuid|+Recente|8.Maior|Com Voto,PrinAcion|+Recente|9.Maior|Com Voto,AcPossuid|+Recente|9.Maior|Com Voto,PrinAcion|+Recente|10.Maior|Com Voto,AcPossuid|+Recente|10.Maior|Com Voto
3M,Com,-,US,ativo,66740,Indústria de equipamentos e materiais para uso médico,Outros,"ADR,etc (emp estrang)",Bovespa,MMMC11B,BRMMMCBDR000,-,-,-,-,-,-,Dollar US,-,-,-,-,0.3815729125,0.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
521 Particip,ON,1547749000116,BR,cancelado,1633,Administração de empresas e empreendimentos,Outros,Ação,Bovespa,QVUM3B,-,6,56615000,56463000,0,0,1535000,Real,2405000,2.7555093555,23.477338877,0,0,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Fundo Mutuo Inv. Acoes BB Cart. Livre I,2404999,Conselheiros,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A P Participacoes,ON,2288752000125,BR,cancelado,1680,Administração de empresas e empreendimentos,Outros,Ação,Bovespa,APPA3,-,9,1360000,830000,0,0,-9000,Real,157000,0.027659574129,1.7659574468,0,0,-,-,Ascipar,313000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ascipar,157000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A P Participacoes,PN,2288752000125,BR,cancelado,1680,Administração de empresas e empreendimentos,Outros,Ação,Bovespa,APPA4,-,9,1360000,830000,0,0,-9000,Real,313000,0.027659574129,1.7659574468,0,0,-,-,Ascipar,313000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ascipar,157000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Abbott Labs,Com,-,US,ativo,1800,Indústria de remédios,Química,"ADR,etc (emp estrang)",Bovespa,ABTT11B,BRABTTBDR007,-,-,-,-,-,-,Dollar US,-,-,-,-,0.3151902,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Abc Brasil,ON,28195667000106,BR,ativo,2095,Bancos,Finanças e Seguros,Ação,Bovespa,ABCB3,BRABCBACNOR7,6,12909774000,1565771000,-,-,111924000,Real,70237948,1.7190431997,11.696935818,-,0.64,-,-,Marsau Uruguay Holdings S/A,17859279,Fmr Llc(Fidelity),7211800,Capital Research & Mngmt Co,4233000,Acoes em Tesouraria,1630701,-,-,-,-,-,-,-,-,-,-,-,-,Marsau Uruguay Holdings S/A,59794138,-,0,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-
Abc Brasil,PN,28195667000106,BR,ativo,2095,Bancos,Finanças e Seguros,Ação,Bovespa,ABCB4,BRABCBACNPR4,6,12909774000,1565771000,-,-,111924000,Real,68391851,1.7190431997,11.696935818,-,0.64,3.8,6.2,Marsau Uruguay Holdings S/A,17859279,Fmr Llc(Fidelity),7211800,Capital Research & Mngmt Co,4233000,Acoes em Tesouraria,1630701,-,-,-,-,-,-,-,-,-,-,-,-,Marsau Uruguay Holdings S/A,59794138,-,0,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-
Abc Brasil,UNT N2,28195667000106,BR,cancelado,2095,Bancos,Finanças e Seguros,Ação,Bovespa,ABCB11,-,6,12909774000,1565771000,-,-,111924000,Real,0,1.7190431997,11.696935818,-,0,-,-,Marsau Uruguay Holdings S/A,17859279,Fmr Llc(Fidelity),7211800,Capital Research & Mngmt Co,4233000,Acoes em Tesouraria,1630701,-,-,-,-,-,-,-,-,-,-,-,-,Marsau Uruguay Holdings S/A,59794138,-,0,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-
Abril Educa,UNT N2,2541982000154,BR,ativo,2255,Outros tipos de escolas,Outros,Ação,Bovespa,ABRE11,BRABRECDAM15,6,1728899000,996203000,351343000,226756000,33392000,Real,0,0.34018635806,4.3988094337,3.7630650872,0.050669,0.5,0.9,Roberto Civita,18452708,FIP Brasil de Governanca Corporativa,14814814,BR Educacional Fundo de Investimento em Participacoes,13120370,Giancarlo Francesco Civita,5032556,Victor Civita,5032556,Roberta Anamaria Civita,5032556,Abrilpar Participacoes S.A.,2922834,-,-,-,-,-,-,Abrilpar Participacoes S.A.,74532302,Roberto Civita,9226354,FIP Brasil de Governanca Corporativa,7407407,BR Educacional Fundo de Investimento em Participacoes,6560185,Giancarlo Francesco Civita,2516278,Victor Civita,2516278,Roberta Anamaria Civita,2516278,-,-,-,-,-,-
Abyara,ON,7794351000160,BR,cancelado,2020,Construção e empreendimentos imobiliarios,Construção,Ação,Bovespa,ABYA3,-,3,978287000,292060000,67990000,26613000,-766000,Real,104906000,-0.027838681469,2.7840161669,2.9467738095,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ipu Participacoes S/A,50502000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
