Nome,Classe,CNPJ,Pais Sede,Ativo /|Cancelado,ID da|empresa,Setor NAICS|ult disponiv,Setor|Economática,Tipo de Ativo,Bolsa,Código,ISIN,Meses|Dez 2011|no exercício|consolid:sim*,Ativo Tot|Dez 2011|em moeda orig|em milhares|consolid:sim*,Patrim Liq|Dez 2011|em moeda orig|em milhares|consolid:sim*,Receita|Dez 2011|em moeda orig|em milhares|no exercício|consolid:sim*,Lucro Bruto|Dez 2011|em moeda orig|em milhares|no exercício|consolid:sim*,Lucro Liq|Dez 2011|em moeda orig|em milhares|no exercício|consolid:sim*,Moeda dos|Balanços,Qtd Ações|Outstanding|da empresa|em milhares|31Dez11,LPA|Dez 2011|em moeda orig|de 12 meses|consolid:sim*|ajust p/ prov,VPA|Dez 2011|em moeda orig|consolid:sim*|ajust p/ prov,Vendas/Acao|Dez 2011|em moeda orig|de 12 meses|consolid:sim*|ajust p/ prov,Divid por Ação|31Dez11|1 anos|em moeda orig,Div Yld (fim)|31Dez11|no Ano|em moeda orig,Div Yld (inic)|31Dez11|1 anos|em moeda orig,PrinAcion|31/12/2011|1.Maior|Sem Voto,%AcPoss|31/12/2011|1.Maior|Sem Voto,PrinAcion|31/12/2011|2.Maior|Sem Voto,%AcPoss|31/12/2011|2.Maior|Sem Voto,PrinAcion|31/12/2011|3.Maior|Sem Voto,%AcPoss|31/12/2011|3.Maior|Sem Voto,PrinAcion|31/12/2011|4.Maior|Sem Voto,%AcPoss|31/12/2011|4.Maior|Sem Voto,PrinAcion|31/12/2011|5.Maior|Sem Voto,%AcPoss|31/12/2011|5.Maior|Sem Voto,PrinAcion|31/12/2011|6.Maior|Sem Voto,%AcPoss|31/12/2011|6.Maior|Sem Voto,PrinAcion|31/12/2011|7.Maior|Sem Voto,%AcPoss|31/12/2011|7.Maior|Sem Voto,PrinAcion|31/12/2011|8.Maior|Sem Voto,%AcPoss|31/12/2011|8.Maior|Sem Voto,PrinAcion|31/12/2011|9.Maior|Sem Voto,%AcPoss|31/12/2011|9.Maior|Sem Voto,PrinAcion|31/12/2011|10.Maior|Sem Voto,%AcPoss|31/12/2011|10.Maior|Sem Voto,PrinAcion|31/12/2011|1.Maior|Com Voto,%AcPoss|31/12/2011|1.Maior|Com Voto,PrinAcion|31/12/2011|2.Maior|Com Voto,%AcPoss|31/12/2011|2.Maior|Com Voto,PrinAcion|31/12/2011|3.Maior|Com Voto,%AcPoss|31/12/2011|3.Maior|Com Voto,PrinAcion|31/12/2011|4.Maior|Com Voto,%AcPoss|31/12/2011|4.Maior|Com Voto,PrinAcion|31/12/2011|5.Maior|Com Voto,%AcPoss|31/12/2011|5.Maior|Com Voto,PrinAcion|31/12/2011|6.Maior|Com Voto,%AcPoss|31/12/2011|6.Maior|Com Voto,PrinAcion|31/12/2011|7.Maior|Com Voto,%AcPoss|31/12/2011|7.Maior|Com Voto,PrinAcion|31/12/2011|8.Maior|Com Voto,%AcPoss|31/12/2011|8.Maior|Com Voto,PrinAcion|31/12/2011|9.Maior|Com Voto,%AcPoss|31/12/2011|9.Maior|Com Voto,PrinAcion|31/12/2011|10.Maior|Com Voto,%AcPoss|31/12/2011|10.Maior|Com Voto
Abc Brasil,ON,28195667000106,BR,ativo,2095,Bancos,Finanças e Seguros,Ação,Bovespa,ABCB3,BRABCBACNOR7,12,10391898,1539616,-,-,235599,Real,134014,1.7533254352,11.488456866,-,0.58,-,-,Marsau Uruguay Holdings S/A,26.3,Fmr Llc(Fidelity),8.2,Capital Research & Mngmt Co,5.3,Acoes em Tesouraria,1.8,-,-,-,-,-,-,-,-,-,-,-,-,Marsau Uruguay Holdings S/A,88,-,0.0,-,0,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-
Aco Altona,ON,82643537000134,BR,ativo,538,Transformação de aço em produtos de aço,Siderur & Metalur,Ação,Bovespa,EALT3,BREALTACNOR4,12,238009,55440,172191,45965,8698,Real,2250,3.8657777778,24.64,76.529333333,0,-,-,Espolio Bernardo Wolfgang Werner,34.8,Arbela FIA,15.1,Orbe Value Master FIA,14.1,Alcantaro Correa,13.3,Werner S/A Agricultura e Comercio,0.8,Carmen Vetter Werner,0.0,-,-,-,-,-,-,-,-,Werner S/A Agricultura e Comercio,84,Espolio Bernardo Wolfgang Werner,8.9,Carmen Vetter Werner,2,Alcantaro Correa,0.3,-,0,-,0,-,-,-,-,-,-,-,-
AES Elpa,ON,1917705000130,BR,ativo,1931,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,AELP3,BRAELPACNOR2,12,11538858,2031318,9835578,2342379,436885,Real,95061,4.5958384616,21.368573863,103.46596396,5.064224359,11.1,11.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Companhia Brasiliana de Energia,98,Bndespar - BNDES Participacoes SA,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AES Tiete,ON,2998609000127,BR,ativo,1835,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,GETI3,BRGETIACNOR7,12,4130717,1954076,1885956,1302323,844864,Real,381253,2.2160192838,5.1254049148,4.946730911,2.1860485189,9.2,10.2,Companhia Brasiliana de Energia,32.3,Eletrobras - Centrais Eletricas Brasileiras S.A.,16.4,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Companhia Brasiliana de Energia,71,Eletrobras - Centrais Eletricas Brasileiras S.A.,0.1,Bndespar - BNDES Participacoes SA,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Afluente,ON,7620094000140,BR,ativo,2015,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,AFLU3,BRAFLUACNOR9,12,50153,42350,20733,9008,7535,Real,18817,0.40043577616,2.2506244354,1.1018228198,0.33425110201,6.8,-,Neoenergia S/A,85.2,Iberdrola Energia S.A.,13.2,Previ Cx Prev Funcs Bco Brasil,1.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Neoenergia S/A,90,Iberdrola Energia S.A.,5.1,Previ Cx Prev Funcs Bco Brasil,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Afluente T,ON,10338320000100,BR,ativo,2217,"Empresa de eletricidade, gas e agua",Energia Elétrica,Ação,Bovespa,AFLT3,BRAFLTACNOR1,12,92604,81257,32008,21069,21162,Real,63085,0.33545216771,1.2880557977,0.50737893319,0.2495649451,7.1,4.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Neoenergia S/A,88,Iberdrola Energia S.A.,8.5,Previ Cx Prev Funcs Bco Brasil,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AGconcessoes,ON,3601314000138,BR,ativo,1943,Atividades auxiliares ao transporte rodoviário,Transporte Serviç,Ação,Bovespa,ANDG3B,BRANDGACNOR9,12,6517333,2061799,1153258,601002,350730,Real,111051,3.1582856819,18.566276796,10.384963444,0.778849343,-,-,Andrade Gutierrez Participacoes S/A,73.2,IFC International Finance Corporation,14.9,AG Invest FIP,8.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Andrade Gutierrez Participacoes S/A,76,IFC International Finance Corporation,14.9,AG Invest FIP,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Agrenco,ON,8943312000140,OT,ativo,8008,Atividades auxiliares à agricultura,Agro e Pesca,Ação,Bovespa,AGEN11,BRAGENBDR001,12,726249,-996226,10805,107,-584388,Real,188218,-3.2747004845,-5.2929373073,0.060547339669,0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Agrenco Holding B.V.,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Alfa Consorc,ON,17193806000146,BR,ativo,470,Administração de empresas e empreendimentos,Outros,Ação,Bovespa,BRGE3,BRBRGEACNOR6,12,5286483,755893,15429,-66649,56638,Real,73646,0.7690533309,10.263816332,0.20950110955,0.0305,0.6,0.5,Luiz Alves Paes de Barros,44.5,Administradora Fortaleza Ltda,17.3,Mario Slerca Junior,13.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Administradora Fortaleza Ltda,85,Luiz Alves Paes de Barros,5.0,Mario Slerca Junior,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Alfa Financ,ON,17167412000113,BR,ativo,389,Bancos,Finanças e Seguros,Ação,Bovespa,CRIV3,BRCRIVACNOR4,12,3976783,635362,-,-,76923,Real,105766,0.72729421553,6.007242403,-,0.12089,3.3,2.8,Mcap Poland Fundo de Investimento em Acoes,25.2,Corumbal Participacoes e Administr. Ltda,18.8,Mario Slerca Junior,6.9,Luiz Alves Paes de Barros,6.8,Alfa Holdings S.A.,0.0,Consorcio Alfa de Administracao S.A,0.0,Administradora Fortaleza Ltda,0.0,Aloysio de Andrade Faria,0,-,0.0,-,-,Alfa Holdings S.A.,29,Consorcio Alfa de Administracao S.A,29.2,Corumbal Participacoes e Administr. Ltda,25,Metro Tecnologia Informatica Ltda.,3.1,Mcap Poland Fundo de Investimento em Acoes,2,Mario Slerca Junior,2,Administradora Fortaleza Ltda,0.0,Aloysio de Andrade Faria,0,-,0,-,-
