nome,sinonimo,fonte
"Consertel - Controladora de Servicios de Telecomunicaciones S.A., de CV",Controladora de Serv. Telec. S.A. de C.V,Economatica associado
"Indac - Indústria, Administração e Comércio S.A.",Indac Ind. Adm. e Comercio S.A.,Economatica associado
"SOCIEDADE FIDUCIÁRIA BRASILEIRA SERVIÇOS, NEGÓCIOS E PARTICIPAÇÕES LTDA.",Sociedade Fiduciaria Brasileira,Economatica associado
3M,3 M,Exame
Abril Educação,Abril Educa,Economatica
Alesat,Ale,Exame
Alfa Holdings,Alfa Holding,Economatica
All Amer Lat,ALL América Latina Log.,Valor
Ambev,Ambev - Cia de Bebidas Das Americas,Economatica associado
Amil,Amil Assistencia Medica Internacional Ltda,Economatica associado
Anglo Gold Ashanti,Anglogold Ashanti,Valor
Anhanguera Educacional,Anhanguera,Economatica
Arcelor BR,ArcelorMittal Brasil,Valor
Arezzo,Arezzo Co,Economatica
BMF Bovespa,BM&FBovespa,Valor
BNDES - Banco Nac de Desenvol Economico e Social,Banco Nacional de Desenvolvimento Econômico E Social,Bovespa associado
BR Malls Par,BR Malls Participações,Valor
BRF Foods,BRF - Brasil Foods S.A.,Economatica associado
BRF Foods,BRF Brasil Foods,Valor
Banco BTG Pactual,Btgp Banco,Economatica
Banco do Brasil S.A,Brasil,Economatica
Banespa,Banco do Estado de Sao Paulo S/A - Banespa .,Economatica associado
Bhp Billiton,BHP Billiton Metais 1,Valor
Bndespar - BNDES Participacoes SA,BNDES PARTICIPACOES S.A. - BNDESPAR,Bovespa
Bndespar - BNDES Participacoes,Bndes Participações S.A,Bovespa associado
Brasil Brokers,BR Brokers,Economatica
Braskem,Braskem S.A.,Economatica associado
Brasmotor,Brasmotor S/A,Economatica associado
Brazil Pharma,BR Pharma,Economatica
Brookfield Incorporações,Brookfield Incorporacoes S.A.,Economatica associado
Brookfield Incorporações,Brookfield,Economatica
Bunge Brasil,Bunge Brasil S.A.,Economatica associado
C. Vale,C.Vale,Valor
CAF Brasil,Caf,Exame
CAMARGO CORRÊA INVESTIMENTO EM INFRA-ESTRUTURA S.A.,Camargo Correa Invest. em Infra Estrutur,Economatica associado
CAPITAL RESEARCH AND MANAGEMENT,Capital Research & Mngmt Co,Economatica associado
CBC - Cia. Brasileira de Cartuchos,CBC Cartucho,Economatica
CPFL Energia,CPFL Energia S.A.,Economatica associado
Café Iguaçu,Iguacu Cafe,Economatica
Caixa de Previdência Dos Funcionários Do Banco Do Brasil - Previ,Previ CAIXA DE PREVIDENCIA DOS FUNCS DO BANCO DO BRASIL,Economatica associado
Caixa de Previdência Dos Funcionários Do Banco Do Brasil - Previ,Previ Cx Prev Funcs Bco Brasil,Economatica associado
Camargo Corrêa Desenvolvimento Imobiliário,CC Des Imob,Economatica
Camargo Corrêa Desenvolvimento Imobiliário,CCDI,Valor
Camil,Camil 1,Valor
Cargill,Cargill Agricola S.A.,Economatica associado
Carioca,Carioca Engenharia,Valor
Carlos Francisco Ribeiro Jereissati,Carlos Francisco R. Jereissati,Economatica associado
Carrefour,Carrefour 2,Valor
Cedro e Cachoeira,Cedro,Economatica
Celulose Irani,Celul Irani,Economatica
Celulose Irani,Irani,Valor
Cemig Gt,Cemig Geracao e Transmissao S.A,Economatica associado
Cemig,Cemig - Cia Energetica de MG,Economatica associado
Centennial Asset Mining Fund Llc,Centennial Ass Mining Fundo Llc,Economatica associado
Cia. Providência,Providencia,Economatica
Cia. Providência,Providência,Valor
Claro Telecom Participacoes,Claro Telecom,Valor
Claro,Claro SA,Economatica associado
Clealco,Clealco 1,Valor
