empresa,associado
AGEN,168854
AGEN,168856
AGEN,168855
AGEN,168857
22250,402877
402877,402878
402878,402879
402879,402880
402879,402881
402879,402882
402879,402883
402878,402884
402878,402885
402878,402886
402878,402887
402877,402888
22250,402889
402889,402890
402889,402891
402889,402892
402889,402893
402889,402894
402889,402895
402889,402896
22250,402897
402897,402898
402898,402899
402899,402900
402900,402901
402900,402902
402900,402903
402900,402905
402900,402904
402900,402906
402900,402907
402899,402908
402899,402909
402898,402910
402898,402911
402897,402912
402897,402913
22250,402914
402914,402916
402914,402918
402914,402915
402914,402917
402914,402919
22250,402920
402920,402921
402920,402922
402920,402923
22250,402924
22250,402925
AGRO,391219
391219,391226
391226,391227
391227,391228
391228,391229
391229,391230
391229,391231
391229,391232
391228,391233
391227,391237
391237,391238
391237,391239
391227,391234
391234,391235
391234,391236
391227,391240
391240,391241
391241,391242
391242,391243
391242,391244
391242,391245
391241,391246
391240,391247
391227,391248
391227,391249
391226,391250
391219,391220
391220,391221
391221,391222
391221,391223
391221,391224
391220,391225
391219,391251
391219,391252
AGRO,391178
391178,391179
391178,391180
AGRO,391181
391181,391182
391182,391183
391183,391190
391190,391191
391191,391203
391203,391204
391204,391205
391204,391206
391204,391207
391203,391208
391191,391192
391192,391193
391192,391194
391191,391209
391209,391210
391209,391211
391191,391195
391195,391196
391196,391197
391197,391198
391197,391199
391197,391200
391196,391201
391195,391202
391191,391212
391191,391213
391190,391214
391183,391184
391184,391185
391185,391186
391185,391187
391185,391188
391184,391189
391183,391215
391183,391216
391182,391217
391181,391218
AGRO,391172
391172,391173
391173,391174
391173,391175
391172,391176
AGRO,391177
AGRO,391254
AGRO,391253
AGRO,391255
21709,392100
392100,392101
392100,392102
392100,392103
392100,392104
21709,392105
392105,392113
392113,392114
392113,392115
392113,392116
392113,392117
392113,392118
392113,392119
392105,392106
392106,392107
392106,392108
392106,392109
392106,392110
392106,392111
392106,392112
392105,392120
21709,392122
21709,392121
21709,392123
CSAN,378823
378823,378824
378824,378825
378825,378826
378826,378838
378826,378827
378827,378829
378829,378830
378829,378831
378829,378832
378827,378835
378827,378834
378827,378828
378827,378833
378827,378836
378827,378837
378826,378839
378825,378840
378824,378841
378823,378874
378823,378842
378842,378843
378843,378844
378844,378845
378845,378846
378846,378847
378846,378848
378848,378849
378848,378850
378848,378851
378846,378852
378846,378853
378845,378854
378854,378855
378854,378856
378854,378857
378845,378858
378845,378859
378844,378860
378860,378861
378860,378862
378860,378863
378844,378864
378844,378865
378843,378866
378843,378867
378842,378868
378842,378869
378842,378870
378842,378871
378842,378872
378842,378873
378823,378875
378823,378876
378823,378877
CSAN,378878
378878,378879
378878,378880
378878,378881
378878,378882
CSAN,378884
CSAN,378883
CSAN,378885
CZLT,185391
185391,185392
185392,185393
185393,185394
185394,185395
185395,185396
185396,185397
185396,185398
185396,185399
185395,185400
185400,185401
185401,185402
185402,185403
185402,185404
185402,185405
185401,185406
185401,185407
185401,185408
185400,185409
185400,185410
185395,185411
185395,185412
185394,185413
185413,185414
185414,185415
185415,185416
185415,185417
185415,185418
185414,185419
185414,185420
185414,185421
185413,185422
185413,185423
185394,185424
185394,185425
185393,185426
185426,185427
185426,185428
185426,185429
185426,185430
185426,185431
185426,185432
185426,185433
185393,185434
185392,185435
185391,185436
CZLT,185437
CZLT,185378
185378,185379
185379,185380
185380,185381
185380,185382
185380,185383
185380,185384
185379,185385
185379,185386
185378,185387
185378,185388
185378,185389
185378,185390
CZLT,185438
CZLT,185440
CZLT,185439
CZLT,185442
CZLT,185441
CZLT,185443
