Ranking 2011,Ranking 2010,Empresa,Sede,Setor de atividade,Receita líquida (R$ milhões),Var. (%),Capital (origem),Lucro líquido (R$ milhões),Var (%),Margem líquida (%),Rentab. do PL (%),Lucro da ativ. (R$ milhões),Lucro Financ. (R$ milhões),Lucro não oper. (R$ milhões),Ebitda (R$ milhões),Var. (%),Ativo total (R$ milhões),Patrim. líquido (R$ milhões),Endiv. oneroso (R$ milhões),Nível endiv. geral (%),Nível endiv. oneroso (%),Liq. corrente (em pontos),Crescim. sustent. (em pontos)
1,1,Petrobras,RJ,Petróleo e Gás,244176,15.3,BR,33110,-7.7,13.6,10,43843,122,0,61968,3.5,599150,332224,155554,80.3,46.8,1.78,1.0749
2,2,Vale,RJ,Mineração,103195,24,BR,37400,22.9,36.2,25.5,50647,-6623,0,60071,29.9,241782,146691,50498,64.8,34.4,1.89,0.9833
3,3,JBS,SP,Alimentos,61796.8,12.9,BR,-322.9,-26.8,-0.5,-1.5,1780.6,-2010.7,0,3072,-12.5,47410.9,21599.2,18873.5,119.5,87.4,1.72,0.9766
4,4,Ultra,SP,Petróleo e Gás,48661.3,14.5,BR,854.8,11.7,1.8,15.3,1378.6,-296.5,21.4,2010.7,13.2,13742.7,5577.2,5561.6,146.3,99.7,1.6,1.0628
5,5,Pão de Açúcar,SP,Comércio Varejista,46594.5,45.2,BR/FR,719.7,22.8,1.5,7.1,2102.5,-1332.7,0,2809,47.4,33769,10094.4,11172.6,234.5,110.7,1.28,1.3665
6,6,Gerdau,RS,Metalurgia e Siderurgia,35406.8,12.8,BR,2097.6,-14.6,5.9,7.9,2621.3,-528.3,0,4588.2,-16.5,49981.8,26519.8,12939.3,88.5,48.8,2.56,0.8568
7,9,Braskem,BA,Química e Petroquímica,33176.2,30.1,BR,-516.8,-127.4,-1.6,-5.2,1909.3,-2804.9,0,3652.8,-23.9,37354.2,9951.2,15257.6,275.4,153.3,1.12,ND
8,8,Eletrobras,DF,Energia Elétrica,29532.7,10.1,BR,3762,47.4,12.7,4.9,4142.8,234.5,0,6022.3,9.5,163142.4,77202.3,45834.9,111.3,59.4,1.4,1.0055
9,23,Telefônica Brasil,SP,Telecomunicações,29128.7,84.4,EP,4362.2,81.8,15,10.1,5355.2,-139.7,0,10383.4,89.6,65490,43330.8,6255.1,50.8,14.4,0.93,0.4965
10,0,Oi,RJ,Telecomunicações,27907,0,BR,1006,0,0,0,0,0,0,8766,0,31664,0,0,0,0,0,0
11,10,AmBev,SP,Bebidas e Fumo,27127,7.5,BE/BR,8719,14.4,32.1,33.8,11436,-468,24,13138,13.6,46139,25830,4114,78.6,15.9,1.02,1.0225
12,12,BRF Brasil Foods,SP,Alimentos,25706.2,13.3,BR,1365.1,69.6,5.3,9.7,1992.2,-479.5,0,2878.5,27.4,29983.5,14109.9,8053.5,112.5,57.1,1.39,1.0953
13,11,Carrefour 2,SP,Comércio Varejista,24899.7,-0.3,FR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,18,Cosan 1,SP,Açúcar e Álcool,24096.9,33.4,BR,2644.8,240.6,11,27.5,853.7,-474.1,0,5338.7,99.8,22124.1,9616.4,5023.7,130.1,52.2,2.27,0.9411
15,13,Volkswagen,SP,Veículos e Peças,24001.1,6,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,Bunge Alimentos,SC,Alimentos,23056.7,23.3,HO,58,107.4,0.3,1.4,542.7,-582.4,0,672.9,44.6,12160.4,4018.4,827.1,202.6,20.6,1.83,0.8157
17,22,Marfrig,SP,Alimentos,21884.9,37.8,BR,-746.7,-633,-3.4,-12.7,858.5,-2308.9,0,1773.8,18.1,23823.4,5898.5,12331.6,314.9,209.1,1.4,ND
18,14,Fiat Automóveis,MG,Veículos e Peças,21496,4,IT,1395.7,-13.7,6.5,72.2,1977.3,-92.4,0,2350.3,-12.4,13109.2,1934.2,3811.5,577.8,197.1,1.08,ND
19,20,Odebrecht,RJ,Construção e Engenharia,21432.7,32.2,BR,918.9,-24.9,4.3,18.8,1903.8,-504.6,0,2267.7,16.3,20328.5,4880.4,1237.5,316.5,25.4,1.61,1.0751
20,15,Walmart 2,SP,Comércio Varejista,20314.2,5.6,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21,Nestlé 2,SP,Alimentos,19266.3,20.5,SU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,27,Cargill,SP,Alimentos,18872.6,31,US,224,132.2,1.2,16.2,734.7,-801.8,0,1150.4,173.8,8505.9,1379.1,5093.4,516.8,369.3,1.82,0.6492
23,19,ArcelorMittal Brasil,MG,Metalurgia e Siderurgia,17285.5,1.9,LX/EP,-82.2,-105.2,-0.5,-0.6,1520.9,-1043.7,0,2402.8,-34,31611.7,14392.4,7337.8,119.6,51,1.01,0.9173
24,25,TIM,RJ,Telecomunicações,17086,18.2,IT,1281.2,-42.1,7.5,9.9,2010.3,-238.9,0,4637.2,10.6,23438.2,12956.7,3826.7,80.9,29.5,1.22,0.9396
25,26,CSN,RJ,Metalurgia e Siderurgia,16519.6,14.3,BR,3667.2,45.7,22.2,43.6,5037.7,-2005.8,0,6705.2,15.4,46869.7,8417.2,27888.6,456.8,331.3,3.38,1.0624
26,30,Mercedes-Benz,SP,Veículos e Peças,16200,29.1,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,29,Cemig,MG,Energia Elétrica,15814.2,14.2,BR,2415.5,7,15.3,20.6,4498.4,-1055.8,0,5437.8,17.9,37357.7,11744.9,15779.1,218.1,134.3,0.7,1.1159
28,24,Honda South America 2,SP,Veículos e Peças,14466.8,-2.7,JP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,31,Correios,DF,Serviços Especializados,13214.1,9.4,BR,882.7,7.8,6.7,22.8,756.8,266.2,0,1178.2,-7.8,10503.7,3869.5,46.2,171.4,1.2,1.05,ND
30,34,TAM,SP,Transportes e Logística,12994.5,14.2,BR,-261.5,-139.1,-2,-12.3,1017.9,-1200.8,0,1748.3,2,15985.2,2124.1,9235.8,652.6,434.8,0.97,ND
31,32,CPFL Energia,SP,Energia Elétrica,12764,6.2,BR,1582.4,1.4,12.4,18.5,3050.5,-688.6,0,3851.8,12.3,27413.1,8552.5,13607.8,220.5,159.1,1.19,0.8378
32,33,Claro Telecom,SP,Telecomunicações,12369.8,5.3,MX,-246.1,-116.8,-2,-2.2,268.9,-494.7,0,3004.1,-6.1,22972,11372,307.9,102,2.7,1.04,ND
33,35,Embratel,RJ,Telecomunicações,12233.3,8.9,MX,413.4,-46,3.4,3.9,940.3,-743.3,0,3161.7,-3.3,22074.8,10507.8,7418.3,110.1,70.6,0.77,ND
34,28,Usiminas,MG,Metalurgia e Siderurgia,11902,-8.2,BR,404.1,-74.5,3.4,2.1,200.4,-50,0,1357.8,-53.2,33360.4,19014.2,8531.8,75.5,44.9,3.08,ND
35,43,Copersucar 1,SP,Açúcar e Álcool,11033.1,30.8,BR,102.6,-71.2,0.9,49.9,244.5,-196.1,0,262.1,-36.9,2833.9,205.6,2256.7,1278.1,1097.4,2.66,ND
36,36,Globo,RJ,Comunicação e Gráfica,10977.4,11.9,BR,2167.9,-21,19.7,33.7,2531.2,220.1,0.1,2919,-14.1,12958,6430.7,1103.3,101.5,17.2,1.85,0.8259
37,38,Lojas Americanas,RJ,Comércio Varejista,10201.6,8.7,BR,303.8,-6.3,3,26.2,1140.6,-716.6,0,1317.7,7.2,9550.1,1158.4,4996.7,724.4,431.3,1.48,0.5165
38,40,Sabesp,SP,Água e Saneamento,9941.6,7.7,BR,1223.4,-25,12.3,11.6,2281.9,-633.6,0,3123.2,-3.1,25215,10545.9,8596.3,139.1,81.5,0.94,0.9887
39,37,Brasiliana de Energia,SP,Energia Elétrica,9918,1.1,BR/US,1730.8,1.1,17.5,21.5,2906.6,-169.8,0,3628.4,1.7,17203.7,8059.1,3369.2,113.5,41.8,1.22,0.9328
40,39,Embraer,SP,Veículos e Peças,9858.1,5.1,BR,171.3,-71.5,1.7,2.9,404.3,-150.9,0,934.7,-13.5,16616.4,5848.4,3110.2,184.1,53.2,1.82,0.9376
41,41,Neoenergia,RJ,Energia Elétrica,9770.8,9.1,BR,1551.6,-12.7,15.9,12.9,2010.1,-88.8,0,2555.9,-2.6,21634.7,11983,6760.2,80.5,56.4,2.26,1.0258
42,42,Unilever 2,SP,Farmacêutica e Cosméticos,9067.3,2.8,GB/HO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,44,Votorantim Cimentos,SP,Mat. de Constr. e Decoração,8698.4,8.1,BR,907.5,-67,10.4,17,1592.6,-772.4,0,2033.6,-54.8,18431.2,5325.3,8056.7,246.1,151.3,1.77,0.9056
44,46,Volkswagen Camin. e Ônibus,SP,Veículos e Peças,8665.4,14.8,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,45,Toyota,SP,Veículos e Peças,8530.5,8.6,JP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,54,Renault,PR,Veículos e Peças,7947.8,25.8,FR,215.7,-7.4,2.7,15.8,139.5,35.4,0,454.9,26.6,5147,1364.8,1379,277.1,101,1.54,1.1528
47,52,LDC Brasil,SP,Alimentos,7851.4,30.6,FR,142.2,245.7,1.8,16.3,175.3,-7.8,0,311,54,6713.1,871,3510.1,670.7,403,1.07,1.0259
48,51,Rede Energia,SP,Energia Elétrica,7782.4,13.4,BR,-731,-95,-9.4,-38.7,892.6,-1154.3,0,1397.4,14.7,12935.8,1888.6,6726.1,584.9,356.1,0.61,ND
49,50,Copel,PR,Energia Elétrica,7776.2,12.7,BR,1176.9,16.5,15.1,9.8,1300.4,224.8,0,1856.5,31.4,19121.7,12069.5,2174.5,58.4,18,1.8,1.0546
50,49,Alesat,RN,Petróleo e Gás,7774.2,11.8,BR,9.8,-46.7,0.1,7.3,70.5,-72.1,0,149.6,-9.2,1038,133.7,557.9,676.1,417.1,1.1,ND
51,48,Gol Linhas Aéreas,SP,Transportes e Logística,7539.3,8,BR,-751.5,-450.9,-10,-34.1,-354.7,-755.9,0,151.3,-84.6,10655.1,2205.9,4991.4,383,226.3,0.87,ND
52,47,Whirlpool,SP,Eletroeletrônica,7465.3,1.1,US,371.7,-41.7,5,20.5,365.6,-36,0,521.1,-41.9,5258.2,1811.2,327.9,198.1,18.1,1.18,0.9596
53,56,Samarco,MG,Mineração,7058.9,13.1,BR,2914.3,29.7,41.3,161.3,3922.3,-204.6,0,4112.6,12,7198.1,1807.1,4388.4,298.3,242.8,0.74,0.862
54,53,Light,RJ,Energia Elétrica,6944.8,6.7,BR,310.6,-46,4.5,9.6,873.2,-457.7,0,1233.1,-22.7,10981.7,3221.4,4163.9,240.9,129.3,1.37,ND
55,66,PDG Realty,RJ,Construção e Engenharia,6877.4,31.5,BR,708,-10.3,10.3,11,944.1,-37.4,3.6,1053.1,11.5,17253.1,6436.9,5190.7,168,80.6,2.52,1.2186
56,60,Tereos Internacional 1,SP,Açúcar e Álcool,6876,20.9,FR,157,-19.9,2.3,4.3,317,-138,0,967,8.8,9364,3627,3650,158.2,100.6,1.02,1.1542
57,0,Caoa Veículos,GO,Veículos e Peças,6798.5,32.6,BR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,57,Const. Andrade Gutierrez,MG,Construção e Engenharia,6697.9,9.2,BR,396.3,8.8,5.9,15.8,656.6,-77.5,0,846.4,10.5,8038.8,2505.3,1499.8,220.9,59.9,1.63,0.9088
59,63,NET Serviços,SP,Telecomunicações,6695.9,23.9,BR,373.2,21.5,5.6,8.9,879.9,-300.5,0,1941.8,24.5,8894.9,4187.8,2169.4,112.4,51.8,0.87,1.1283
60,59,PSA Peugeot Citroën,RJ,Veículos e Peças,6601.9,6.8,FR,148.3,-30.9,2.2,10.6,170.3,-83.9,0,473.8,-17,4248.1,1398.3,1291.8,203.8,92.4,1.35,1.0624
61,0,Endesa Brasil,RJ,Energia Elétrica,6579.3,-1.8,CL,1203.5,0,18.3,20.3,1765.4,-123.6,0,2218.3,0,11793.9,5937.6,2862,98.6,48.2,1.06,0
62,71,Magazine Luiza,SP,Comércio Varejista,6419.4,33.5,BR/US,11.7,-83.1,0.2,1.9,186.8,-165.7,0,300.6,-6,4877.4,620.9,1692.8,685.5,272.6,1.13,0.102
63,70,Cyrela Brazil Realty,SP,Construção e Engenharia,6126.8,25.3,BR,498.2,-17,8.1,10.1,655.1,49.6,0,668.4,-8,13416.8,4922.8,4322.2,172.5,87.8,2.19,1.1916
64,58,Itaipu Binacional*,DF,Energia Elétrica,6114.8,5.8,BR/PG,1313,68.1,21.5,702.8,2891.4,-1604.8,0,ND,0,36015.1,186.8,29750.7,19176.9,15923.9,0.79,ND
65,61,Basf,SP,Química e Petroquímica,5947.6,7.6,AL,333.2,473.3,5.6,19.5,558,-137.3,0,790.9,664,4383.5,1710.6,356.4,156.3,20.8,1.29,0.9221
66,55,Fibria,SP,Papel e Celulose,5854.3,-6.8,BR,-868.1,-243.9,-14.8,-6,124.7,-1868.7,240.7,2216.9,-14.9,27853.5,14539.7,11538.3,91.6,79.4,2.73,ND
67,67,Natura,SP,Farmacêutica e Cosméticos,5591.4,8.9,BR,830.9,11.7,14.9,66.5,1252,-77.3,0,1425,13.4,3793,1250.2,1186.7,203.4,94.9,1.73,ND
68,76,Coamo,PR,Agropecuária,5550.5,25.3,BR,369.5,28.4,6.7,16.9,315.9,50.7,5.1,435.2,31,4504.1,2189.2,1130.8,105.7,51.7,2.03,1.1271
69,62,Souza Cruz,RJ,Bebidas e Fumo,5550.2,0.6,GB,1602.7,10.6,28.9,77.1,2088.6,58.9,0,2349.8,12.6,4253.8,2079.2,232.4,104.6,11.2,1.8,ND
70,65,Makro,SP,Comércio Atacadista e Exterior,5499.8,4.7,HO,-4.5,-111.7,-0.1,-0.9,28.8,-48,0,100,-27.4,1918.9,500.2,552.7,283.6,110.5,1.1,ND
71,68,EDP Energias do Brasil,SP,Energia Elétrica,5401.7,7.3,PT,490.7,-15.8,9.1,7.5,991,-283.4,0,1336.6,-1.9,13662.3,6547.6,3613.6,108.7,55.2,1.01,1.0578
72,118,GBarbosa,SE,Comércio Varejista,5368.7,84,CL,47.2,187.3,0.9,3.3,189.5,-139.8,0,297.2,124.4,3467.1,1435.9,203.1,141.5,14.1,0.95,1.3871
73,77,WEG,SC,Mecânica,5189.4,18.2,BR,607,13.8,11.7,15.5,663.1,103,0,851.2,8.5,9105.9,3906.6,3457.7,133.1,88.5,2.13,1.0719
74,72,CCR,SP,Transportes e Logística,5134.3,10.2,BR,910.8,34.4,17.7,28.3,2356.2,-922.7,0,2711.9,34.2,12851.4,3214.2,6947.9,299.8,216.2,0.47,1.0771
75,73,CNH,MG,Veículos e Peças,5033.9,4.8,IT,160.3,-56.6,3.2,11.7,391.6,-160.7,0,464.8,-29,3759.7,1368.3,905.6,174.8,66.2,1.33,0.9238
76,75,Suzano Papel e Celulose,BA,Papel e Celulose,4848,7.4,BR,29.9,-96.1,0.6,0.3,494.6,-774.7,0,1306.2,-23.1,21657.1,9673.5,8801.6,123.9,91,1.74,0.9593
77,94,Heringer,ES,Química e Petroquímica,4704,33.6,BR,63.9,3.4,1.4,13.5,283.8,-211.2,0,354.4,66.9,2594.2,473.6,1003.6,447.7,211.9,0.98,1.1556
78,74,OAS Engenharia,SP,Construção e Engenharia,4637.5,2.7,BR,53.2,147.2,1.1,7.7,217.5,-204.4,-0.4,388.2,123.9,7106.9,691.3,3540.5,928.1,512.2,1.7,0.9848
79,93,Iveco Latin America,MG,Veículos e Peças,4547.9,19.4,IT,333.2,-10.4,7.3,36,531,-60.6,0,582.1,13.3,2586.2,924.7,337.9,179.7,36.5,1.38,0.7838
80,92,Pirelli Pneus,BA,Veículos e Peças,4508.3,16.4,IT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,69,Camargo Corrêa,SP,Construção e Engenharia,4427.9,-9.8,BR,24.4,32.5,0.6,1,-79.1,-67.1,0,145.5,-15.6,4432.3,2562,922.6,73,36,2.39,ND
82,102,Bunge Fertilizantes,SP,Química e Petroquímica,4373,35.2,HO,-134.7,-17.5,-3.1,-9.7,-183.4,-96.7,0,-31.7,-117.7,3852.1,1395.5,10.9,176,0.8,3.69,ND
83,79,Tractebel Energia,SC,Energia Elétrica,4327,5.5,BE,1448.1,19.5,33.5,26.6,2292.4,-373.8,0,2909.7,11.4,12371.2,5450.3,3649.2,127,67,1.03,0.9822
84,0,André Maggi,MT,Alimentos,4300.3,23.6,BR,118.4,-7.9,2.8,6.7,275.6,-188.2,0,350.3,18.1,5610.3,1777.8,2624.6,215.6,147.6,1.3,1.1808
85,88,Bayer,SP,Química e Petroquímica,4292.5,16.9,AL,98,246.2,2.3,6,247.3,-82.6,0,330.7,95.5,4065.7,1630.2,188.3,149.4,11.5,1.72,0.7712
86,109,Mitsubishi Motors 2,SP,Veículos e Peças,4289.9,38.1,BR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,82,Cielo,SP,Serviços Especializados,4208.7,5.4,BR,1816.9,-0.8,43.2,127.5,2150.7,553.6,0,2388.5,-6.8,5081.2,1424.6,150.8,256.7,10.6,1.19,0.8837
88,83,Bosch,SP,Veículos e Peças,4202.4,6.7,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,81,Celesc,SC,Energia Elétrica,4191.4,3.8,BR,323.9,18.4,7.7,14.9,430.9,15.2,0,586.6,38.7,5365.2,2174.5,371.1,146.7,17.1,1.11,0.9266
90,87,Coca-Cola Femsa,SP,Bebidas e Fumo,4168,12.5,MX,400.6,13.8,9.6,20.9,490.1,96,0,596.5,-2.4,2668.7,1913.9,13.3,39.4,0.7,2.43,0.8898
91,78,Klabin,SP,Papel e Celulose,4159.7,1.2,BR,182.7,-67.4,4.4,3.7,761.8,-500.6,0,1033.1,-1.1,12741.6,4958.3,5297.3,157,106.8,2.11,ND
92,86,Randon,RS,Veículos e Peças,4156.4,11.8,BR,269.1,7.9,6.5,14.5,348.6,60,0,436.1,1.3,4016.5,1861.4,1487.9,115.8,79.9,2.39,0.9713
93,80,Comgás,SP,Petróleo e Gás,4102.7,0.2,HO/BR,236.1,-59.3,5.8,18.9,475.7,-160,0,717.8,-39.3,4307.7,1246.4,1956.2,245.6,156.9,0.59,ND
94,103,Paranapanema,BA,Metalurgia e Siderurgia,4098.4,28.4,BR,-47.7,-200.4,-1.2,-2.9,-65.2,-43.8,0,40.5,-61.7,3776.3,1661.8,749.5,127.2,45.1,1.35,ND
95,84,Electrolux,PR,Eletroeletrônica,4044.3,8.5,SE,140.5,-40.3,3.5,18,124.3,-1.1,0,193.2,-31.2,2257.7,781.7,238.1,188.8,30.5,1.22,0.9435
96,111,MRV Engenharia,MG,Construção e Engenharia,4015.1,32.9,BR,816.3,20.9,20.3,22.2,821.8,9.6,0,941.9,37.8,9160.6,3670.1,2677,149.6,72.9,2.26,1.1055
97,100,Siemens 1,SP,Eletroeletrônica,3983.3,16.6,AL,206.8,115.9,5.2,20.6,223,22.9,0,319.9,132.5,3374.6,1005,280.7,235.8,27.9,1.23,0.8616
98,96,Minerva,SP,Alimentos,3977,16.7,BR,21.2,1.3,0.5,2.7,253.2,-395.3,0,327.7,33.4,3499.2,796.5,2036,339.3,255.6,1.74,0.7479
99,116,Fertipar,PR,Química e Petroquímica,3881,32.5,BR,218,-8,5.6,23.2,289.3,-52.8,0,338,8,2190.6,941.1,635.9,132.8,67.6,1.63,1.0696
100,91,Casas Pernambucanas,SP,Comércio Varejista,3858.3,8.3,BR,154,-5.2,4,24.5,221.4,23.1,0,272.5,-12.9,3498.6,627.6,1246.9,457.4,198.7,1.31,0.9373
101,105,Syngenta,SP,Química e Petroquímica,3742.9,17.5,SU/HO,154.9,-11.8,4.1,9.5,82.1,98.9,0,99.5,-51.5,3136,1624.5,0,93,0,1.64,1.1377
102,98,Brookfield Incorporações,RJ,Construção e Engenharia,3727.3,13.5,BR,326.8,-10.1,8.8,10.8,612,-172.6,0,652.7,6.4,9048.7,3017.8,3252.7,199.9,107.8,2,1.0161
103,90,Panpharma,GO,Comércio Atacadista e Exterior,3613.6,2.3,BR,86.6,-24,2.4,9.5,73.6,-1.2,0,145.3,13.9,1619.7,914,5.8,77.2,0.6,1.91,0.9507
104,97,Elektro,SP,Energia Elétrica,3564.1,5.8,GB,492.4,9.3,13.8,36,782.3,-67.8,0,942.5,8.4,3418.8,1368.6,1237.7,149.8,90.4,1.42,1.0575
105,121,Infraero,DF,Transportes e Logística,3531.2,21.4,BR,147.5,383.7,4.2,13,67.4,81.2,-1.4,199.8,2645,2831.6,1133.2,0,149.9,0,1.4,1.1193
106,128,Aurora,SC,Alimentos,3517.2,25.2,BR,138.9,-19.5,3.9,18.6,192,-64.3,0,238.1,-0.7,1996.9,745,721.9,168,96.9,1.06,1.1283
107,120,AGCO,RS,Veículos e Peças,3487,19.8,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,104,LDC-SEV 1,SP,Açúcar e Álcool,3402.9,6.8,FR,-279.5,-204.4,-8.2,-11.3,-150.5,-481.3,0,813.7,-32.1,9729.2,2471.1,5569,293.7,225.4,0.98,ND
109,114,Marcopolo,RS,Veículos e Peças,3368.9,13.6,BR,344,16.3,10.2,29.4,420.1,67.5,0,455.7,16.5,3381.1,1171.5,1487,188.6,126.9,1.74,0.9345
110,169,Brazil Trading,ES,Comércio Atacadista e Exterior,3363.6,53.4,BR,464.3,82.1,13.8,40.3,535.4,201.4,-0.1,547.3,136.2,1465.2,1152.1,25.6,27.2,2.2,7.27,1.0633
111,139,Sotreq,RJ,Comércio Varejista,3358.1,29.3,BR,201.2,46.4,6,39.4,161.2,23.6,0,314.7,24.4,1655,510.2,473.6,224.4,92.8,1.42,0.959
